Personality,agentType,nrPlayers,nrCrazyInvestors,nrHighRollerInvestors,nrNormalInvestors,nrSafeBetterInvestors,nrCrazyManagers,nrHighRollerManagers,nrNormalManagers,nrSafeBetterManagers,nrCompanies,nrBlueCompanies,nrGreenCompanies,nrYellowCompanies,nrRedCompanies,finalCapital,winner
Crazy,investor,6,1,0,2,0,0,1,0,2,4,1,1,2,0,120,false
Normal,investor,6,1,0,2,0,0,1,0,2,4,1,1,2,0,175,false
Normal,investor,6,1,0,2,0,0,1,0,2,4,1,1,2,0,190,true
SafeBetter,manager,6,1,0,2,0,0,1,0,2,4,1,1,2,0,210,true
SafeBetter,manager,6,1,0,2,0,0,1,0,2,4,1,1,2,0,135,false
HighRoller,manager,6,1,0,2,0,0,1,0,2,4,1,1,2,0,60,false
HighRoller,investor,6,1,2,0,0,0,0,1,2,10,2,2,3,3,10,false
HighRoller,investor,6,1,2,0,0,0,0,1,2,10,2,2,3,3,10,false
Crazy,investor,6,1,2,0,0,0,0,1,2,10,2,2,3,3,360,true
SafeBetter,manager,6,1,2,0,0,0,0,1,2,10,2,2,3,3,190,false
SafeBetter,manager,6,1,2,0,0,0,0,1,2,10,2,2,3,3,190,false
Normal,manager,6,1,2,0,0,0,0,1,2,10,2,2,3,3,220,true
Normal,investor,6,1,0,2,0,0,2,0,1,2,2,0,0,0,190,false
Normal,investor,6,1,0,2,0,0,2,0,1,2,2,0,0,0,190,false
Crazy,investor,6,1,0,2,0,0,2,0,1,2,2,0,0,0,370,true
SafeBetter,manager,6,1,0,2,0,0,2,0,1,2,2,0,0,0,100,false
HighRoller,manager,6,1,0,2,0,0,2,0,1,2,2,0,0,0,175,false
HighRoller,manager,6,1,0,2,0,0,2,0,1,2,2,0,0,0,325,true
Normal,investor,6,1,1,1,0,1,0,1,1,5,2,1,0,2,435,true
Crazy,investor,6,1,1,1,0,1,0,1,1,5,2,1,0,2,120,false
HighRoller,investor,6,1,1,1,0,1,0,1,1,5,2,1,0,2,-5,false
Normal,manager,6,1,1,1,0,1,0,1,1,5,2,1,0,2,450,true
SafeBetter,manager,6,1,1,1,0,1,0,1,1,5,2,1,0,2,150,false
Crazy,manager,6,1,1,1,0,1,0,1,1,5,2,1,0,2,240,false
Normal,investor,6,0,1,2,0,0,1,2,0,2,0,0,2,0,5,true
HighRoller,investor,6,0,1,2,0,0,1,2,0,2,0,0,2,0,5,true
Normal,investor,6,0,1,2,0,0,1,2,0,2,0,0,2,0,5,true
